time	V(out)
0.000000000000000e+00	-3.113783e-03
9.999999960041972e-12	-3.113783e-03
1.999999992008394e-11	-3.113783e-03
1.249599238896436e-10	-3.113783e-03
2.299198478592032e-10	-3.113783e-03
3.348797718287628e-10	-3.113783e-03
4.398396957983225e-10	-3.113783e-03
5.447996197678821e-10	-3.113783e-03
6.497595437374417e-10	-3.113783e-03
7.547194677070011e-10	-3.113783e-03
1.000000000000000e-09	-3.113783e-03
1.008800000000000e-09	-3.113783e-03
1.026400000000000e-09	-3.113783e-03
1.132000000000000e-09	-3.113783e-03
1.272800000000000e-09	-3.113783e-03
1.554400000000000e-09	-3.113783e-03
2.011530474848100e-09	-3.113783e-03
2.495055265548739e-09	-3.113783e-03
3.150355191812965e-09	-3.113782e-03
3.966031254447568e-09	-3.113781e-03
5.337546667247054e-09	-3.113777e-03
7.165064134552905e-09	-3.113765e-03
9.196469581083537e-09	-3.113737e-03
1.189850696310991e-08	-3.113657e-03
1.597484701371711e-08	-3.113395e-03
2.162898530836323e-08	-3.112688e-03
2.658818252904487e-08	-3.111567e-03
3.171501904293143e-08	-3.109479e-03
3.947280031620125e-08	-3.103714e-03
5.029681005027609e-08	-3.088434e-03
6.556977168674418e-08	-3.048823e-03
8.377718864660967e-08	-2.969994e-03
1.037041804450717e-07	-2.836243e-03
1.319016860201861e-07	-2.543402e-03
1.882966971704151e-07	-1.587789e-03
3.010867194708730e-07	1.013527e-03
3.057182035736411e-07	1.146246e-03
3.149811717791772e-07	1.452368e-03
3.335071081902494e-07	2.102609e-03
3.705589810123940e-07	3.507277e-03
3.994667382069329e-07	4.707678e-03
4.397962519726766e-07	6.534834e-03
4.705246149291328e-07	8.032711e-03
5.041555271566328e-07	9.794844e-03
5.474869467775314e-07	1.222714e-02
5.958449930564542e-07	1.515492e-02
6.577238876763501e-07	1.924127e-02
7.396331814204018e-07	2.520176e-02
8.379703118024944e-07	3.329369e-02
1.009161470660687e-06	4.959005e-02
1.221671429186414e-06	7.374068e-02
1.553673747739321e-06	1.203170e-01
2.030702129496260e-06	1.980548e-01
2.032702129496261e-06	1.984374e-01
2.036702129496261e-06	1.992038e-01
2.044702129496261e-06	2.007420e-01
2.156702129496270e-06	2.229977e-01
2.284702129496279e-06	2.496646e-01
2.390833333333311e-06	2.725475e-01
2.522046110311182e-06	3.022925e-01
2.539872856457203e-06	3.064586e-01
2.557699602603224e-06	3.106511e-01
2.575526348749245e-06	3.148699e-01
2.593353094895266e-06	3.191152e-01
2.611179841041287e-06	3.233868e-01
2.629006587187309e-06	3.276848e-01
2.646833333333330e-06	3.320092e-01
2.646845125586743e-06	3.320121e-01
2.646868710093571e-06	3.320178e-01
2.647833333333330e-06	3.322526e-01
2.647834155879087e-06	3.322528e-01
2.647835800970600e-06	3.322532e-01
2.648282501579928e-06	3.323620e-01
2.648729202189255e-06	3.324707e-01
2.649175902798583e-06	3.325795e-01
2.649622603407910e-06	3.326883e-01
2.650069304017237e-06	3.327971e-01
2.650516004626565e-06	3.329060e-01
2.650962705235893e-06	3.330148e-01
2.652037240761845e-06	3.332767e-01
2.653875171299267e-06	3.337250e-01
2.657335510839426e-06	3.345699e-01
2.664256189919745e-06	3.362629e-01
2.677533037640794e-06	3.395205e-01
2.694899173874667e-06	3.438026e-01
2.729631446342414e-06	3.524315e-01
2.780854227970471e-06	3.652932e-01
2.852029282276671e-06	3.834369e-01
2.956520638241086e-06	4.104812e-01
3.022081437915890e-06	4.277246e-01
3.029727258979380e-06	4.297573e-01
3.034983088328950e-06	4.311574e-01
3.039531536576575e-06	4.323703e-01
3.041771719716301e-06	4.329682e-01
3.044175106630769e-06	4.336101e-01
3.046713122669582e-06	4.342883e-01
3.049327002454868e-06	4.349872e-01
3.052842076338201e-06	4.359278e-01
3.058651105210428e-06	4.374836e-01
3.066764411932254e-06	4.396589e-01
3.082991025375904e-06	4.440143e-01
3.105871408277006e-06	4.501598e-01
3.126748046139633e-06	4.557678e-01
3.140284759057742e-06	4.594027e-01
3.157575622192005e-06	4.640425e-01
3.174889994710525e-06	4.686849e-01
3.195240828326689e-06	4.741358e-01
3.216398294419282e-06	4.797959e-01
3.241776147328979e-06	4.865755e-01
3.270398340774353e-06	4.942088e-01
3.307271209785039e-06	5.040216e-01
3.351442749363616e-06	5.157444e-01
3.414640991110617e-06	5.324556e-01
3.496883232663239e-06	5.540792e-01
3.651806793715158e-06	5.944632e-01
3.861376087047625e-06	6.482655e-01
3.957681599428330e-06	6.730061e-01
4.053987111809035e-06	6.975292e-01
4.150292624189741e-06	7.218347e-01
4.246598136570445e-06	7.459227e-01
4.342903648951150e-06	7.697932e-01
4.439209161331855e-06	7.934462e-01
4.535514673712560e-06	8.168817e-01
4.601869720325052e-06	8.330251e-01
4.668224766937543e-06	8.490703e-01
4.734579813550034e-06	8.650173e-01
4.800934860162525e-06	8.808661e-01
4.867289906775017e-06	8.966166e-01
4.933644953387509e-06	9.122689e-01
5.000000000000000e-06	9.278229e-01
5.000004399999898e-06	9.278240e-01
5.000013199999694e-06	9.278260e-01
5.000999999999999e-06	9.280568e-01
5.001008799999999e-06	9.280589e-01
5.001026399999999e-06	9.280630e-01
5.001423516729429e-06	9.281558e-01
5.001820633458859e-06	9.282487e-01
5.002217750188289e-06	9.283415e-01
5.002614866917718e-06	9.284344e-01
5.003011983647149e-06	9.285272e-01
5.003409100376578e-06	9.286200e-01
5.003806217106008e-06	9.287128e-01
5.004869837390090e-06	9.289615e-01
5.006391244537404e-06	9.293171e-01
5.009414535906737e-06	9.300235e-01
5.012521527645408e-06	9.307494e-01
5.015817164317545e-06	9.315192e-01
5.019941600675101e-06	9.324823e-01
5.027729286406134e-06	9.343005e-01
5.039194135426509e-06	9.369784e-01
5.053187032989669e-06	9.402527e-01
5.070503916864278e-06	9.443211e-01
5.088289511121315e-06	9.485331e-01
5.123860699635389e-06	9.570834e-01
5.195003076663537e-06	9.745906e-01
5.294394424313165e-06	9.995810e-01
5.303531478723210e-06	1.001948e+00
5.334858522414791e-06	1.010142e+00
5.376627914003566e-06	1.021188e+00
5.387070261900759e-06	1.023976e+00
5.407954957695147e-06	1.029596e+00
5.427205217733309e-06	1.034806e+00
5.448505559783931e-06	1.040611e+00
5.472815863358070e-06	1.047287e+00
5.510799023549224e-06	1.057809e+00
5.549319106353612e-06	1.068593e+00
5.600470602433978e-06	1.083099e+00
5.664529396529567e-06	1.101532e+00
5.733710283541547e-06	1.121823e+00
5.971206230732925e-06	1.194215e+00
6.173923688711842e-06	1.259455e+00
6.429638596591676e-06	1.345996e+00
6.793321032839287e-06	1.476313e+00
7.123520136716425e-06	1.599969e+00
7.126520136716427e-06	1.601139e+00
7.130520136716429e-06	1.602707e+00
7.138520136716433e-06	1.605847e+00
7.211136307661704e-06	1.634548e+00
7.283752478606975e-06	1.663580e+00
7.356368649552246e-06	1.692944e+00
7.428984820497517e-06	1.722638e+00
7.501600991442788e-06	1.752663e+00
7.574217162388058e-06	1.783019e+00
7.646833333333329e-06	1.813706e+00
7.646846533333330e-06	1.813712e+00
7.646872933333329e-06	1.813723e+00
7.647833333333328e-06	1.814131e+00
7.647834133864900e-06	1.814131e+00
7.647835734928044e-06	1.814132e+00
7.648194630644635e-06	1.814285e+00
7.648553526361227e-06	1.814437e+00
7.648912422077817e-06	1.814590e+00
7.649271317794407e-06	1.814742e+00
7.649630213510998e-06	1.814895e+00
7.649989109227590e-06	1.815047e+00
7.650348004944180e-06	1.815200e+00
7.651221514414843e-06	1.815572e+00
7.652509707173169e-06	1.816119e+00
7.654752529562656e-06	1.817074e+00
7.659238174341630e-06	1.818983e+00
7.668209463899581e-06	1.822806e+00
7.682630598663372e-06	1.828960e+00
7.704611729503147e-06	1.838361e+00
7.748573991182698e-06	1.857227e+00
7.803606303263532e-06	1.880954e+00
7.888274236275889e-06	1.917694e+00
8.008988327951966e-06	1.970380e+00
8.028833387404930e-06	1.979083e+00
8.038562845563317e-06	1.983364e+00
8.044866114978196e-06	1.986139e+00
8.047169962932459e-06	1.987154e+00
8.050392189713708e-06	1.988574e+00
8.053756535549461e-06	1.990056e+00
8.056982799458945e-06	1.991479e+00
8.063435327277914e-06	1.994324e+00
8.072541949151212e-06	1.998341e+00
8.086777509178659e-06	2.004619e+00
8.110304683639045e-06	2.014989e+00
8.130563889914954e-06	2.023912e+00
8.144233985851240e-06	2.029925e+00
8.161765026059947e-06	2.037627e+00
8.180149365709794e-06	2.045693e+00
8.201470653109949e-06	2.055033e+00
8.224528045349042e-06	2.065114e+00
8.252115356872314e-06	2.077149e+00
8.285034283234725e-06	2.091472e+00
8.326933261675090e-06	2.109640e+00
8.381719977490375e-06	2.133290e+00
8.457281966154251e-06	2.165705e+00
8.567433740407790e-06	2.212525e+00
8.737469704047829e-06	2.283704e+00
9.043631854242339e-06	2.409053e+00
9.180255875064862e-06	2.464462e+00
9.316879895887385e-06	2.519014e+00
9.453503916709908e-06	2.572707e+00
9.590127937532431e-06	2.625542e+00
9.726751958354953e-06	2.677518e+00
9.863375979177476e-06	2.728636e+00
9.999999999999999e-06	2.778896e+00
1.000000440000009e-05	2.778898e+00
1.000001320000026e-05	2.778901e+00
1.000100000000000e-05	2.779262e+00
1.000100880000000e-05	2.779265e+00
1.000102640000000e-05	2.779272e+00
1.000141535958336e-05	2.779414e+00
1.000180431916672e-05	2.779556e+00
1.000219327875008e-05	2.779698e+00
1.000258223833344e-05	2.779841e+00
1.000297119791680e-05	2.779983e+00
1.000336015750017e-05	2.780125e+00
1.000374911708353e-05	2.780267e+00
1.000472355151326e-05	2.780623e+00
1.000599094151846e-05	2.781087e+00
1.000842650439973e-05	2.781977e+00
1.001152524083278e-05	2.783109e+00
1.001461118343454e-05	2.784236e+00
1.001757524969076e-05	2.785318e+00
1.002350338220320e-05	2.787481e+00
1.003316743083248e-05	2.791006e+00
1.004575932664770e-05	2.795599e+00
1.006096603726876e-05	2.801149e+00
1.007665238803742e-05	2.806891e+00
1.010734576751639e-05	2.818196e+00
1.016873252647435e-05	2.841040e+00
1.025270299668402e-05	2.872818e+00
1.039078544779803e-05	2.925878e+00
1.039699789160960e-05	2.928295e+00
1.040942277923275e-05	2.933172e+00
1.043427255447905e-05	2.942955e+00
1.045878480460416e-05	2.952639e+00
1.048848442314944e-05	2.964424e+00
1.052691340376346e-05	2.979747e+00
1.057064216241017e-05	2.997282e+00
1.062603155668704e-05	3.019641e+00
1.068963017741538e-05	3.045520e+00
1.077673116565234e-05	3.081334e+00
1.090299996926668e-05	3.133994e+00
1.108995373587390e-05	3.213753e+00
1.146386126908834e-05	3.378970e+00
1.205506679134048e-05	3.648176e+00
1.206106679134048e-05	3.651016e+00
1.206906679134049e-05	3.654805e+00
1.215160486876804e-05	3.694078e+00
1.223414294619558e-05	3.733629e+00
1.231668102362313e-05	3.773458e+00
1.239921910105068e-05	3.813564e+00
1.248175717847823e-05	3.853949e+00
1.256429525590578e-05	3.894611e+00
1.264683333333333e-05	3.935551e+00
1.264684653333333e-05	3.935558e+00
1.264687293333333e-05	3.935571e+00
1.264783333333333e-05	3.936049e+00
1.264783377296220e-05	3.936049e+00
1.264783465221994e-05	3.936049e+00
1.264822431735946e-05	3.936243e+00
1.264861398249899e-05	3.936437e+00
1.264900364763851e-05	3.936631e+00
1.264939331277803e-05	3.936825e+00
1.264978297791755e-05	3.937020e+00
1.265017264305707e-05	3.937214e+00
1.265056230819660e-05	3.937408e+00
1.265155287362900e-05	3.937901e+00
1.265306202028094e-05	3.938653e+00
1.265589180490389e-05	3.940062e+00
1.266155137414979e-05	3.942883e+00
1.267287051264159e-05	3.948526e+00
1.268855144602363e-05	3.956351e+00
1.271767682488128e-05	3.970900e+00
1.276626151929177e-05	3.995206e+00
1.282927733190725e-05	4.026790e+00
1.292441365616145e-05	4.074569e+00
1.302050287266719e-05	4.122925e+00
1.302939365828167e-05	4.127407e+00
1.303488439946383e-05	4.130176e+00
1.303952034524965e-05	4.132514e+00
1.304179541759847e-05	4.133662e+00
1.304418845761962e-05	4.134869e+00
1.304673198028837e-05	4.136152e+00
1.304935153219926e-05	4.137474e+00
1.305283337915870e-05	4.139231e+00
1.305890560698134e-05	4.142295e+00
1.306697573055524e-05	4.146367e+00
1.308311597770305e-05	4.154506e+00
1.310602470805859e-05	4.166046e+00
1.312691928578091e-05	4.176556e+00
1.314095804409073e-05	4.183604e+00
1.315860717073152e-05	4.192450e+00
1.317672005611717e-05	4.201509e+00
1.319817881055167e-05	4.212217e+00
1.322107536188033e-05	4.223614e+00
1.324905718321403e-05	4.237498e+00
1.328167589721201e-05	4.253623e+00
1.332480222367970e-05	4.274841e+00
1.337891076143483e-05	4.301295e+00
1.345891255409662e-05	4.340067e+00
1.356691607805763e-05	4.391724e+00
1.374961315149949e-05	4.477264e+00
1.404617220481314e-05	4.611839e+00
1.418243331841126e-05	4.672887e+00
1.431869443200939e-05	4.732648e+00
1.445495554560751e-05	4.791122e+00
1.459121665920563e-05	4.848310e+00
1.472747777280375e-05	4.904211e+00
1.486373888640188e-05	4.958826e+00
1.500000000000000e-05	5.012154e+00
1.500000440000009e-05	5.012155e+00
1.500001320000026e-05	5.012159e+00
1.500100000000000e-05	5.012542e+00
1.500100880000000e-05	5.012545e+00
1.500102640000000e-05	5.012552e+00
1.500130389864470e-05	5.012660e+00
1.500158139728939e-05	5.012767e+00
1.500185889593409e-05	5.012875e+00
1.500213639457878e-05	5.012983e+00
1.500241389322348e-05	5.013090e+00
1.500269139186818e-05	5.013198e+00
1.500296889051287e-05	5.013306e+00
1.500370776017134e-05	5.013592e+00
1.500470842621454e-05	5.013980e+00
1.500593884130270e-05	5.014458e+00
1.500825506925595e-05	5.015356e+00
1.501132810182078e-05	5.016547e+00
1.501417701744138e-05	5.017651e+00
1.501680538540736e-05	5.018668e+00
1.502206212133930e-05	5.020702e+00
1.503102185409281e-05	5.024166e+00
1.504325835167142e-05	5.028893e+00
1.505899941462996e-05	5.034975e+00
1.507580977022083e-05	5.041477e+00
1.510064609598739e-05	5.051118e+00
1.515031874752052e-05	5.070524e+00
1.523016335426090e-05	5.102045e+00
1.535184018340177e-05	5.150657e+00
1.542038005941281e-05	5.178312e+00
1.542492145731257e-05	5.180157e+00
1.543400425311210e-05	5.183859e+00
1.545216984471115e-05	5.191274e+00
1.548850102790927e-05	5.206141e+00
1.552628193082498e-05	5.221647e+00
1.557502448281725e-05	5.241724e+00
1.562224550967724e-05	5.261250e+00
1.569047442449314e-05	5.289595e+00
1.576960791057109e-05	5.322667e+00
1.589906015986009e-05	5.377212e+00
1.607708805789534e-05	5.453191e+00
1.643314385396584e-05	5.608050e+00
1.693772174119232e-05	5.831082e+00
1.703902339721247e-05	5.876918e+00
1.714032505323261e-05	5.922987e+00
1.724162670925275e-05	5.969286e+00
1.734292836527290e-05	6.015817e+00
1.744423002129304e-05	6.062580e+00
1.754553167731318e-05	6.109574e+00
1.764683333333333e-05	6.156799e+00
1.764684653333333e-05	6.156806e+00
1.764687293333333e-05	6.156818e+00
1.764783333333333e-05	6.157267e+00
1.764783385945782e-05	6.157267e+00
1.764783491170679e-05	6.157268e+00
1.764816104084327e-05	6.157420e+00
1.764848716997974e-05	6.157572e+00
1.764881329911621e-05	6.157725e+00
1.764913942825268e-05	6.157877e+00
1.764946555738915e-05	6.158030e+00
1.764979168652562e-05	6.158182e+00
1.765011781566209e-05	6.158335e+00
1.765088576993979e-05	6.158693e+00
1.765208941404442e-05	6.159256e+00
1.765393951326781e-05	6.160121e+00
1.765763971171461e-05	6.161850e+00
1.766504010860820e-05	6.165311e+00
1.767846856694178e-05	6.171591e+00
1.769680476502414e-05	6.180168e+00
1.773347716118885e-05	6.197324e+00
1.778543430238679e-05	6.221628e+00
1.785922411628945e-05	6.256128e+00
1.796680966312149e-05	6.306397e+00
1.802434047055826e-05	6.333257e+00
1.803152427267340e-05	6.336609e+00
1.803649055304300e-05	6.338926e+00
1.804114014373626e-05	6.341095e+00
1.804276428657502e-05	6.341854e+00
1.804504924841422e-05	6.342919e+00
1.804678599465283e-05	6.343730e+00
1.804895529851840e-05	6.344742e+00
1.805329390624953e-05	6.346766e+00
1.805848752005054e-05	6.349189e+00
1.806887474765255e-05	6.354032e+00
1.808592478192462e-05	6.361972e+00
1.810754977030952e-05	6.372024e+00
1.812821953715287e-05	6.381608e+00
1.814240265491446e-05	6.388168e+00
1.816016572138292e-05	6.396361e+00
1.817874042177081e-05	6.404903e+00
1.820059954422337e-05	6.414923e+00
1.822437567683766e-05	6.425779e+00
1.825328770782929e-05	6.438920e+00
1.828793245333707e-05	6.454579e+00
1.833322295833369e-05	6.474904e+00
1.839259404000079e-05	6.501289e+00
1.847816087186697e-05	6.538797e+00
1.860252332263650e-05	6.592195e+00
1.879673329108482e-05	6.672712e+00
1.915335920594988e-05	6.814947e+00
1.928674817026988e-05	6.865669e+00
1.938864128880275e-05	6.903559e+00
1.949053440733563e-05	6.940580e+00
1.959242752586850e-05	6.976731e+00
1.969432064440138e-05	7.012013e+00
1.979621376293425e-05	7.046426e+00
1.989810688146713e-05	7.079969e+00
2.000000000000000e-05	7.112642e+00
2.000000440000009e-05	7.112643e+00
2.000001320000026e-05	7.112646e+00
2.000100000000000e-05	7.112959e+00
2.000100880000000e-05	7.112962e+00
2.000102640000000e-05	7.112967e+00
2.000130072088117e-05	7.113054e+00
2.000157504176233e-05	7.113141e+00
2.000184936264350e-05	7.113228e+00
2.000212368352466e-05	7.113315e+00
2.000239800440583e-05	7.113402e+00
2.000267232528699e-05	7.113489e+00
