time	V(vcomp)
5.422735613069082e-09	1.628142e-06
5.933686860210312e-09	1.951021e-06
6.437446675203743e-09	2.298077e-06
6.966151520658102e-09	2.693207e-06
7.502868523203609e-09	3.126691e-06
8.080356109810367e-09	3.631279e-06
8.790094986716100e-09	4.304804e-06
9.642182619094353e-09	5.190621e-06
1.072604361429377e-08	6.440210e-06
1.211038848491953e-08	8.198273e-06
1.295210726323322e-08	9.361892e-06
1.364048338082967e-08	1.037672e-05
1.398912273907506e-08	1.091091e-05
1.431566531988060e-08	1.142667e-05
1.453640208012348e-08	1.178358e-05
1.475713884036635e-08	1.214587e-05
1.497787560060924e-08	1.251353e-05
1.519861236085211e-08	1.288658e-05
1.541934912109499e-08	1.326500e-05
1.564008588133787e-08	1.364880e-05
1.586082264158075e-08	1.403798e-05
1.618589219715526e-08	1.462154e-05
1.649482275236730e-08	1.518767e-05
1.670981859440471e-08	1.558845e-05
1.700687054318353e-08	1.615138e-05
1.743240484800490e-08	1.697729e-05
1.812285317920758e-08	1.836866e-05
1.934793430952172e-08	2.100267e-05
2.179809657015002e-08	2.691009e-05
2.669842109140660e-08	4.038873e-05
3.017730641225366e-08	5.117695e-05
3.179004626083586e-08	5.670315e-05
3.335274028944538e-08	6.240477e-05
3.457691238526101e-08	6.706884e-05
3.590507822636217e-08	7.238257e-05
3.856140990856450e-08	8.379764e-05
4.387407327296916e-08	1.083586e-04
4.613669132929454e-08	1.195514e-04
4.739193966592182e-08	1.261165e-04
4.861304652482527e-08	1.326993e-04
4.957585225409814e-08	1.380113e-04
5.062191891037343e-08	1.439396e-04
5.271405222292401e-08	1.562848e-04
5.689831884802517e-08	1.821891e-04
5.986885348815704e-08	2.015517e-04
6.223567629636811e-08	2.176851e-04
6.329516671330638e-08	2.251287e-04
6.432085917398341e-08	2.324873e-04
6.514394573370700e-08	2.384804e-04
6.669259923019321e-08	2.499590e-04
6.749826629956117e-08	2.560317e-04
6.830393336892913e-08	2.621865e-04
6.910960043829709e-08	2.684232e-04
6.991526750766503e-08	2.747419e-04
7.072093457703299e-08	2.811426e-04
7.152660164640095e-08	2.876252e-04
7.233226871576891e-08	2.941899e-04
7.519746698361547e-08	3.179346e-04
7.591376655057711e-08	3.240056e-04
7.842081503494284e-08	3.457774e-04
7.950078428520305e-08	3.553776e-04
8.058075353546326e-08	3.651423e-04
8.166072278572349e-08	3.750716e-04
8.274069203598370e-08	3.851655e-04
8.382066128624391e-08	3.954239e-04
8.490063053650413e-08	4.058469e-04
8.598059978676434e-08	4.164345e-04
9.304181568704102e-08	4.874016e-04
9.558528118473685e-08	5.140816e-04
9.992023224847880e-08	5.617268e-04
1.060627492348313e-07	6.331878e-04
1.103176230974535e-07	6.847367e-04
1.137744551101998e-07	7.283710e-04
1.204759033672056e-07	8.170819e-04
1.253152285316360e-07	8.836906e-04
1.284059868689390e-07	9.277960e-04
1.314967452062421e-07	9.730023e-04
1.345875035435451e-07	1.019310e-03
1.376782618808482e-07	1.066718e-03
1.407690202181512e-07	1.115227e-03
1.438597785554543e-07	1.164837e-03
1.469505368927573e-07	1.215548e-03
1.513923000336631e-07	1.290975e-03
1.602758263154746e-07	1.448848e-03
1.728454706772311e-07	1.686578e-03
1.875998551285412e-07	1.984106e-03
1.960052368537172e-07	2.163143e-03
2.007174245608435e-07	2.267509e-03
2.030790837479103e-07	2.320992e-03
2.053716563927602e-07	2.373630e-03
2.072003940543693e-07	2.416051e-03
2.091729242352388e-07	2.462363e-03
2.131179845969778e-07	2.556714e-03
2.210081053204558e-07	2.751954e-03
2.367883467674118e-07	3.163561e-03
2.570255383569152e-07	3.722594e-03
2.681974432663525e-07	4.047698e-03
2.738268273674496e-07	4.218197e-03
2.792921839647129e-07	4.387752e-03
2.833962174815658e-07	4.517333e-03
2.879409867854360e-07	4.663772e-03
2.970305253931766e-07	4.965749e-03
3.152096026086577e-07	5.594963e-03
3.332772413627037e-07	6.247112e-03
3.412047608647679e-07	6.544635e-03
3.486289901317055e-07	6.831305e-03
3.541320897489346e-07	7.047924e-03
3.602788795591501e-07	7.295236e-03
3.725724591795810e-07	7.803096e-03
3.874206611522181e-07	8.433825e-03
3.962076786932509e-07	8.817598e-03
4.034287124422673e-07	9.139794e-03
4.097325758632772e-07	9.426336e-03
4.148234475645055e-07	9.661477e-03
4.201119625805614e-07	9.909764e-03
4.306889926126732e-07	1.041794e-02
4.518430526768968e-07	1.146287e-02
4.636789299284676e-07	1.206394e-02
4.686915788455175e-07	1.232385e-02
4.737042277625675e-07	1.258718e-02
4.787168766796173e-07	1.285395e-02
4.837295255966672e-07	1.312415e-02
4.887421745137172e-07	1.339777e-02
4.937548234307670e-07	1.367483e-02
4.987674723478170e-07	1.395532e-02
5.208266755179158e-07	1.521174e-02
5.350264081139639e-07	1.604602e-02
5.492261407100121e-07	1.690296e-02
5.634258733060601e-07	1.778257e-02
5.776256059021082e-07	1.868483e-02
5.918253384981564e-07	1.960975e-02
6.060250710942045e-07	2.055733e-02
6.202248036902525e-07	2.152757e-02
6.714169764001775e-07	2.520396e-02
6.715677296266558e-07	2.521521e-02
6.715697323722656e-07	2.521536e-02
6.715698645946842e-07	2.521537e-02
6.715698976502888e-07	2.521537e-02
6.715699308378526e-07	2.521537e-02
6.715699325797805e-07	2.521537e-02
6.715699360636363e-07	2.521537e-02
6.715699395893929e-07	2.521537e-02
6.715699399496574e-07	2.521537e-02
6.715699406701864e-07	2.521537e-02
6.715699408503187e-07	2.521537e-02
6.715699408559478e-07	2.521537e-02
6.715699408672061e-07	2.521537e-02
6.715699408897226e-07	2.521537e-02
6.715699408953518e-07	2.521537e-02
6.715699409066100e-07	2.521537e-02
6.715699409291266e-07	2.521537e-02
6.715699409741596e-07	2.521537e-02
6.715699410642258e-07	2.521537e-02
6.715699412443581e-07	2.521537e-02
6.715699416046226e-07	2.521537e-02
6.715699416158808e-07	2.521537e-02
6.715699416383974e-07	2.521537e-02
6.715699416834304e-07	2.521537e-02
6.715699417734966e-07	2.521537e-02
6.715699419536288e-07	2.521537e-02
6.715699423138933e-07	2.521537e-02
6.715699424039595e-07	2.521537e-02
6.715699425840918e-07	2.521537e-02
6.715699429443563e-07	2.521537e-02
6.715699436648853e-07	2.521537e-02
6.715699451059434e-07	2.521537e-02
6.715699479880596e-07	2.521537e-02
6.715699537522920e-07	2.521538e-02
6.715699551933501e-07	2.521538e-02
6.715699580754663e-07	2.521538e-02
6.715699638396987e-07	2.521538e-02
6.715699753681636e-07	2.521538e-02
6.715699984250932e-07	2.521538e-02
6.715700445389525e-07	2.521538e-02
6.715700560674173e-07	2.521538e-02
6.715701252382062e-07	2.521539e-02
6.715704019213617e-07	2.521541e-02
6.715715086539839e-07	2.521549e-02
6.717778161628121e-07	2.523090e-02
6.717794459240144e-07	2.523102e-02
6.717796971631062e-07	2.523104e-02
6.717807021194733e-07	2.523111e-02
6.719894609940556e-07	2.524671e-02
6.719932873095980e-07	2.524699e-02
6.720085925717677e-07	2.524813e-02
6.720289995879939e-07	2.524966e-02
6.720292387327153e-07	2.524968e-02
6.720295575923438e-07	2.524970e-02
6.720301953116009e-07	2.524975e-02
6.720314707501150e-07	2.524984e-02
6.720340216271433e-07	2.525003e-02
6.720391233811999e-07	2.525042e-02
6.720493268893130e-07	2.525118e-02
6.720493679074160e-07	2.525118e-02
6.720494499436221e-07	2.525119e-02
6.720495732243518e-07	2.525120e-02
6.720496897249738e-07	2.525121e-02
6.720499057099733e-07	2.525122e-02
6.720501455923688e-07	2.525124e-02
6.720505225189344e-07	2.525127e-02
6.720509682360685e-07	2.525130e-02
6.720514286772677e-07	2.525134e-02
6.720519273740019e-07	2.525137e-02
6.720523907797190e-07	2.525141e-02
6.720528680782056e-07	2.525144e-02
6.720533291965553e-07	2.525148e-02
6.720538066916827e-07	2.525151e-02
6.720542726297681e-07	2.525155e-02
6.720548447173449e-07	2.525159e-02
6.720554961645731e-07	2.525164e-02
6.720563203277667e-07	2.525170e-02
6.720572991810263e-07	2.525177e-02
6.720586131170479e-07	2.525187e-02
6.720603617549322e-07	2.525200e-02
6.720630887327077e-07	2.525221e-02
6.720677051216158e-07	2.525255e-02
6.720730732876709e-07	2.525295e-02
6.720779378380757e-07	2.525332e-02
6.720825883221890e-07	2.525366e-02
6.720871634513681e-07	2.525401e-02
6.720918922973564e-07	2.525436e-02
6.720965954957266e-07	2.525471e-02
6.721013324579106e-07	2.525506e-02
6.721060176999180e-07	2.525541e-02
6.721107372574835e-07	2.525577e-02
6.721201637964226e-07	2.525647e-02
6.721317677158183e-07	2.525734e-02
6.721605846953584e-07	2.525949e-02
6.721932554366713e-07	2.526193e-02
6.721941879669609e-07	2.526200e-02
6.721944268247750e-07	2.526202e-02
6.721946286529245e-07	2.526204e-02
6.721948408840782e-07	2.526205e-02
6.721948939418665e-07	2.526206e-02
6.721950000574433e-07	2.526206e-02
6.721952122885969e-07	2.526208e-02
6.721956367509042e-07	2.526211e-02
6.721964856755186e-07	2.526218e-02
6.721971223689794e-07	2.526222e-02
6.721996691428227e-07	2.526241e-02
6.722234390320272e-07	2.526419e-02
6.722489037622239e-07	2.526609e-02
6.722743684924206e-07	2.526799e-02
6.722998332226173e-07	2.526990e-02
6.723252979528141e-07	2.527180e-02
6.723507626830109e-07	2.527370e-02
6.723762274132075e-07	2.527561e-02
6.724016921434043e-07	2.527751e-02
6.724037357485895e-07	2.527766e-02
6.724057793537749e-07	2.527782e-02
6.724078229589601e-07	2.527797e-02
6.724098665641455e-07	2.527812e-02
6.724119101693307e-07	2.527828e-02
6.724139537745160e-07	2.527843e-02
6.724159973797013e-07	2.527858e-02
6.726073241993672e-07	2.529288e-02
6.726089032634607e-07	2.529300e-02
6.726104823275542e-07	2.529312e-02
6.726120613916478e-07	2.529324e-02
6.726136404557414e-07	2.529336e-02
6.726152195198349e-07	2.529348e-02
6.726167985839284e-07	2.529359e-02
6.726183776480219e-07	2.529371e-02
6.728168841802431e-07	2.530856e-02
6.728172367810209e-07	2.530858e-02
6.728173647966602e-07	2.530859e-02
6.728174879014946e-07	2.530860e-02
6.728175919637373e-07	2.530861e-02
6.728177013748016e-07	2.530862e-02
