Rl	Wload	Wtrans	Vo	I 
617.5	0.039520000000000007	0.011279999999999995	4.94	8
494.00000000000006	0.049400000000000006	0.014099999999999993	4.94	10
176.42857142857144	0.13832000000000003	0.03947999999999997	4.94	28
117.38095238095238	0.20706	0.05964	4.93	42
74.69696969696969	0.32538	0.09372	4.93	66
67.53424657534246	0.35989	0.10366	4.93	73
59.27710843373494	0.40836	0.11868999999999998	4.92	83
51.25	0.47232	0.13727999999999999	4.92	96
45.887850467289724	0.52537	0.15407999999999997	4.91	107
42.241379310344826	0.5684000000000001	0.16819999999999993	4.9	116
39.44	0.61625	0.1775	4.93	125
37.06766917293233	0.65569	0.18885999999999997	4.93	133
34.23611111111111	0.70992	0.20448	4.93	144
32.01298701298701	0.7592199999999999	0.21867999999999999	4.93	154
30.559006211180126	0.79212	0.23022999999999996	4.92	161
28.771929824561404	0.84132	0.24452999999999994	4.92	171
23.83495145631068	1.01146	0.29663999999999985	4.91	206
22.837209302325583	1.0556500000000002	0.30959999999999993	4.91	215
18.014705882352942	1.3328000000000002	0.3943999999999998	4.9	272
16.266666666666666	1.464	0.44099999999999995	4.88	300
14.507462686567164	1.6281	0.49914999999999976	4.86	335
10.640176600441501	2.18346	0.6930899999999997	4.82	453
9.35672514619883	2.4624	0.7951499999999999	4.8	513
9.089184060721061	2.52433	0.8221199999999997	4.79	527
8.986866791744841	2.55307	0.8314799999999998	4.79	533
8.139931740614333	2.7952199999999996	0.92588	4.77	586
7.043090638930164	3.19002	1.0835299999999994	4.74	673
6.885007278020379	3.2495100000000003	1.1129399999999994	4.73	687
4.8	0.349	1.8671499999999999	1.92	400
2.865329512893983	0.349	1.8671499999999999	1.0	349
2.4820143884892083	0.12408	1.55232	0.69	278
1.7803030303030303	0.12408	1.55232	0.47	264
0.6666666666666667	0.022719999999999997	1.8449999999999998	0.2	300
			0.08	284
