Rl	Vo	I
23.33333333	3.22	138
20.92105263	3.18	152
10.70707071	3.18	297
10.15974441	3.18	313
6.125244618	3.13	511
5.905660377	3.13	530
5.796296296	3.13	540
5.183333333	3.11	600
4.733637747	3.11	657
4.668674699	3.10	664
2.797202797	1.20	429
1.090909091	0.36	330
1.689189189	0.50	296
0.6093189964	0.17	279
0.3092783505	0.09	291
