Rl	Wload	Wtrans	Vo	I 
23.333333333333336	0.44436000000000003	0.43193999999999994	3.22	138
20.92105263157895	0.48336	0.48183999999999994	3.18	152
10.707070707070708	0.9444600000000001	0.9414899999999999	3.18	297
10.159744408945688	0.99534	0.9922099999999998	3.18	313
6.125244618395303	1.59943	1.6454199999999999	3.13	511
5.90566037735849	1.6588999999999998	1.7066	3.13	530
5.796296296296296	1.6902000000000001	1.7388	3.13	540
5.183333333333334	1.866	1.9439999999999997	3.11	600
4.7336377473363775	2.04327	2.1286799999999997	3.11	657
4.668674698795181	2.0584000000000002	2.1579999999999995	3.1	664
2.797202797202797	0.5147999999999999	2.2093499999999997	1.2	429
1.090909090909091	0.1188	1.9767	0.36	330
1.6891891891891893	0.148	1.7315999999999998	0.5	296
0.6093189964157706	0.04743000000000001	1.72422	0.17	279
0.3092783505154639	0.026189999999999998	1.8216599999999998	0.09	291
