rl	V(Vreg,N002)*Ie(Q9)
1.000000000000000e-006	1.252338e+000
2.000010000000000e-001	1.288902e+000
4.000010000000001e-001	1.327530e+000
6.000010000000000e-001	1.368380e+000
8.000010000000000e-001	1.411634e+000
1.000001000000000e+000	1.457461e+000
1.200001000000000e+000	1.506064e+000
1.400001000000000e+000	1.557643e+000
1.600001000000000e+000	1.612406e+000
1.800001000000000e+000	1.670540e+000
2.000001000000000e+000	1.732251e+000
2.200001000000000e+000	1.797662e+000
2.400001000000000e+000	1.866823e+000
2.600001000000000e+000	1.939634e+000
2.800001000000000e+000	2.015733e+000
3.000001000000001e+000	2.094322e+000
3.200001000000001e+000	2.173810e+000
3.400001000000001e+000	2.251330e+000
3.600001000000001e+000	2.321659e+000
3.800001000000001e+000	2.375375e+000
4.000001000000001e+000	2.395103e+000
4.200001000000001e+000	2.347714e+000
4.400001000000001e+000	2.239008e+000
4.600001000000002e+000	2.143888e+000
4.800001000000002e+000	2.056534e+000
5.000001000000002e+000	1.976032e+000
5.200001000000002e+000	1.901606e+000
5.400001000000002e+000	1.832593e+000
5.600001000000002e+000	1.768425e+000
5.800001000000003e+000	1.708607e+000
6.000001000000003e+000	1.652711e+000
6.200001000000003e+000	1.600365e+000
6.400001000000003e+000	1.551241e+000
6.600001000000003e+000	1.505049e+000
6.800001000000004e+000	1.461540e+000
7.000001000000004e+000	1.420474e+000
7.200001000000004e+000	1.381662e+000
7.400001000000004e+000	1.344921e+000
7.600001000000004e+000	1.310088e+000
7.800001000000004e+000	1.277019e+000
8.000001000000005e+000	1.245583e+000
8.200001000000004e+000	1.215662e+000
8.400001000000003e+000	1.187149e+000
8.600001000000002e+000	1.159947e+000
8.800001000000002e+000	1.133968e+000
9.000001000000001e+000	1.109131e+000
9.200001000000000e+000	1.085362e+000
9.400001000000000e+000	1.062594e+000
9.600000999999999e+000	1.040765e+000
9.800000999999998e+000	1.019818e+000
1.000000100000000e+001	9.997004e-001
1.020000100000000e+001	9.803643e-001
1.040000100000000e+001	9.617648e-001
1.060000100000000e+001	9.438606e-001
1.080000100000000e+001	9.266134e-001
1.100000099999999e+001	9.099879e-001
1.120000099999999e+001	8.939508e-001
1.140000099999999e+001	8.784715e-001
1.160000099999999e+001	8.635215e-001
1.180000099999999e+001	8.490741e-001
1.200000000000000e+001	8.351042e-001
