time	V(vo)
0.000000000000000e+000	3.295731e+000
9.999999439624929e-011	3.295731e+000
1.043001829940699e-010	3.295731e+000
1.129005601897112e-010	3.295731e+000
1.301013145809938e-010	3.295731e+000
1.596597550676854e-010	3.295731e+000
2.068187090500566e-010	3.295731e+000
2.539811937150623e-010	3.295731e+000
3.483061630450737e-010	3.295731e+000
5.369561017050965e-010	3.295731e+000
9.142559790251421e-010	3.295731e+000
1.504385004469755e-009	3.295731e+000
2.684643055358980e-009	3.295732e+000
3.782740273078579e-009	3.295732e+000
5.684849620756403e-009	3.295734e+000
8.297894213994100e-009	3.295738e+000
1.352398340046949e-008	3.295752e+000
1.856483716200055e-008	3.295776e+000
2.701051484218991e-008	3.295841e+000
3.756717519344785e-008	3.295976e+000
5.868049589596373e-008	3.296428e+000
8.726347985560846e-008	3.297409e+000
1.223064113373480e-007	3.299247e+000
1.640409015577619e-007	3.302371e+000
2.088036166582330e-007	3.306861e+000
2.559900394883225e-007	3.312886e+000
3.058490602121395e-007	3.320675e+000
3.638700354353222e-007	3.331464e+000
4.333618866350905e-007	3.346607e+000
5.317579808485878e-007	3.371074e+000
6.192088170831165e-007	3.395146e+000
7.110210784934174e-007	3.422350e+000
8.213565457127019e-007	3.456465e+000
9.387567616418465e-007	3.493424e+000
1.106606644340294e-006	3.545759e+000
1.358364835544943e-006	3.621379e+000
1.603172641679101e-006	3.690545e+000
1.883264767828094e-006	3.764325e+000
2.155875229074854e-006	3.832023e+000
2.506375003876297e-006	3.916011e+000
2.725988020180897e-006	3.968090e+000
2.937536477985285e-006	4.018478e+000
3.194510003684008e-006	4.080349e+000
3.445875980747702e-006	4.141501e+000
3.736613468643265e-006	4.212699e+000
4.144549091353913e-006	4.312656e+000
4.485444782137344e-006	4.395846e+000
4.681892998274167e-006	4.443480e+000
4.827723017508141e-006	4.478583e+000
4.988802851276509e-006	4.517020e+000
5.185829400991362e-006	4.563391e+000
5.511193103241960e-006	4.638477e+000
5.869721104484664e-006	4.719248e+000
6.222968856414976e-006	4.796687e+000
6.645911102866670e-006	4.887285e+000
6.813194764832133e-006	4.922457e+000
6.932669344740354e-006	4.947176e+000
7.036516983409547e-006	4.968363e+000
7.142030391588193e-006	4.989489e+000
7.261690259181991e-006	5.012771e+000
7.393559660003313e-006	5.037194e+000
7.578063049466787e-006	5.068799e+000
7.771703738576909e-006	5.098158e+000
8.013472443864039e-006	5.129004e+000
8.247441232359808e-006	5.152372e+000
8.572678684638764e-006	5.174839e+000
9.009755920864350e-006	5.192295e+000
9.479458182712857e-006	5.199930e+000
9.985849847398856e-006	5.201228e+000
1.032630162237088e-005	5.200785e+000
1.065368741389658e-005	5.200857e+000
1.103994174184753e-005	5.202107e+000
1.145264767415153e-005	5.204244e+000
1.203106246233841e-005	5.207314e+000
1.239933477950540e-005	5.208730e+000
1.276745667298635e-005	5.209416e+000
1.317567377182448e-005	5.209551e+000
1.371311440430269e-005	5.209291e+000
1.419246261424756e-005	5.209022e+000
1.466341987438962e-005	5.208920e+000
1.523824096420881e-005	5.209011e+000
1.595935354064526e-005	5.209215e+000
1.654572178973827e-005	5.209315e+000
1.728750109231366e-005	5.209318e+000
1.799698971957824e-005	5.209283e+000
1.941596697410740e-005	5.209260e+000
2.090054185321220e-005	5.209276e+000
2.235841949304365e-005	5.209280e+000
2.426267730274009e-005	5.209272e+000
2.698404546085756e-005	5.209274e+000
3.099052016796864e-005	5.209275e+000
3.598891219319456e-005	5.209273e+000
4.598569624364640e-005	5.209274e+000
5.598569624364640e-005	5.209274e+000
6.598569624364641e-005	5.209274e+000
7.598569624364641e-005	5.209274e+000
8.598569624364641e-005	5.209274e+000
9.598569624364641e-005	5.209274e+000
1.059856962436464e-004	5.209274e+000
1.159856962436464e-004	5.209274e+000
1.259856962436464e-004	5.209274e+000
1.359856962436464e-004	5.209274e+000
1.459856962436464e-004	5.209274e+000
1.559856962436464e-004	5.209274e+000
1.659856962436464e-004	5.209274e+000
1.759856962436464e-004	5.209274e+000
1.859856962436464e-004	5.209274e+000
1.959856962436464e-004	5.209274e+000
2.059856962436464e-004	5.209274e+000
2.159856962436464e-004	5.209274e+000
2.259856962436464e-004	5.209274e+000
2.359856962436464e-004	5.209274e+000
2.459856962436464e-004	5.209274e+000
2.659856962436464e-004	5.209274e+000
2.759856962436465e-004	5.209274e+000
2.859856962436465e-004	5.209274e+000
2.959856962436465e-004	5.209274e+000
3.059856962436466e-004	5.209274e+000
3.159856962436466e-004	5.209274e+000
3.259856962436466e-004	5.209274e+000
3.359856962436466e-004	5.209274e+000
3.459856962436467e-004	5.209274e+000
3.559856962436467e-004	5.209274e+000
3.659856962436467e-004	5.209274e+000
3.759856962436467e-004	5.209274e+000
3.859856962436468e-004	5.209274e+000
3.959856962436468e-004	5.209274e+000
4.059856962436468e-004	5.209274e+000
4.259856962436469e-004	5.209274e+000
4.359856962436469e-004	5.209274e+000
4.459856962436469e-004	5.209274e+000
4.559856962436469e-004	5.209274e+000
4.659856962436470e-004	5.209274e+000
4.759856962436470e-004	5.209274e+000
4.859856962436470e-004	5.209274e+000
4.959856962436471e-004	5.209274e+000
5.059856962436471e-004	5.209274e+000
5.159856962436471e-004	5.209274e+000
5.259856962436471e-004	5.209274e+000
5.359856962436472e-004	5.209274e+000
5.459856962436472e-004	5.209274e+000
5.559856962436472e-004	5.209274e+000
5.759856962436473e-004	5.209274e+000
5.959856962436473e-004	5.209274e+000
6.059856962436473e-004	5.209274e+000
6.159856962436474e-004	5.209274e+000
6.259856962436474e-004	5.209274e+000
6.359856962436474e-004	5.209274e+000
6.459856962436474e-004	5.209274e+000
6.559856962436475e-004	5.209274e+000
6.659856962436475e-004	5.209274e+000
6.759856962436475e-004	5.209274e+000
6.859856962436476e-004	5.209274e+000
6.959856962436476e-004	5.209274e+000
9.859856962436482e-004	5.209274e+000
9.900000000010001e-004	5.209274e+000
9.910035759403380e-004	5.209274e+000
9.930107278190139e-004	5.209274e+000
9.959856962436483e-004	5.209274e+000
1.000000000001000e-003	5.205808e+000
1.001050530781486e-003	5.198156e+000
1.001496500784247e-003	5.189369e+000
1.001718847872960e-003	5.182642e+000
1.001841439907460e-003	5.178321e+000
1.001936959775617e-003	5.174785e+000
1.002047109591566e-003	5.170654e+000
1.002261487932099e-003	5.162704e+000
1.002471922279674e-003	5.155267e+000
1.002717675598517e-003	5.147335e+000
1.002948806458083e-003	5.140758e+000
1.003155659575565e-003	5.135723e+000
1.003391554214816e-003	5.130874e+000
1.003650194669786e-003	5.126408e+000
1.004039709904954e-003	5.120594e+000
1.004292014880034e-003	5.117123e+000
1.004540765416529e-003	5.113766e+000
1.004870724561295e-003	5.109175e+000
1.005169889327201e-003	5.104809e+000
1.005556505620686e-003	5.098910e+000
1.005985104185615e-003	5.092221e+000
1.006474508585676e-003	5.084609e+000
1.006938410575293e-003	5.077593e+000
1.007526841542034e-003	5.069019e+000
1.008095060162201e-003	5.060995e+000
1.009111797844986e-003	5.046871e+000
1.010108717318167e-003	5.033087e+000
