time	V(vo)
0.000000000000000e+000	2.393940e-001
9.999999439624929e-011	2.393940e-001
1.034007533388644e-010	2.393940e-001
1.102022712240945e-010	2.393940e-001
1.238053069945549e-010	2.393940e-001
1.485622929780569e-010	2.393940e-001
1.932264353959916e-010	2.393940e-001
2.357777291914083e-010	2.393940e-001
3.208803167822418e-010	2.393940e-001
4.910854919639089e-010	2.393940e-001
7.979151254299591e-010	2.393940e-001
1.345076977827209e-009	2.393940e-001
2.233731279486338e-009	2.393940e-001
3.417076603635710e-009	2.393941e-001
5.369045995204738e-009	2.393942e-001
8.710886568057489e-009	2.393945e-001
1.224055153446997e-008	2.393949e-001
1.864552759047687e-008	2.393959e-001
3.145547970249068e-008	2.393981e-001
4.734579828351458e-008	2.394015e-001
7.821105317346816e-008	2.394100e-001
1.215838225190497e-007	2.394251e-001
1.634176319229685e-007	2.394428e-001
2.092540281481289e-007	2.394653e-001
2.546954346110838e-007	2.394903e-001
3.058327928983828e-007	2.395211e-001
3.625350229260766e-007	2.395577e-001
4.331322558820455e-007	2.396060e-001
5.275840987380001e-007	2.396735e-001
6.136972590206935e-007	2.397366e-001
7.057886488338893e-007	2.398048e-001
8.204476380935070e-007	2.398893e-001
9.388602422845554e-007	2.399746e-001
1.108608280582634e-006	2.400901e-001
1.418382281107592e-006	2.402820e-001
1.704750003681006e-006	2.404341e-001
2.109358809700510e-006	2.405978e-001
2.918576421739519e-006	2.408217e-001
3.761658947076354e-006	2.409763e-001
5.104142077917481e-006	2.411818e-001
6.505706357588848e-006	2.414370e-001
8.818402993320049e-006	2.419109e-001
1.214545010470256e-005	2.425636e-001
1.515930111184807e-005	2.430995e-001
2.118700312613911e-005	2.440813e-001
2.714810073713020e-005	2.449445e-001
3.714810073713020e-005	2.461796e-001
4.714810073713020e-005	2.472154e-001
5.714810073713020e-005	2.480620e-001
6.714810073713020e-005	2.487545e-001
7.714810073713020e-005	2.493204e-001
8.714810073713020e-005	2.497829e-001
9.714810073713020e-005	2.501609e-001
1.071481007371302e-004	2.504697e-001
1.171481007371302e-004	2.507220e-001
1.271481007371302e-004	2.509280e-001
1.371481007371302e-004	2.510964e-001
1.471481007371302e-004	2.512339e-001
1.571481007371302e-004	2.513462e-001
1.671481007371302e-004	2.514380e-001
1.771481007371302e-004	2.515129e-001
1.871481007371302e-004	2.515741e-001
1.971481007371302e-004	2.516240e-001
2.071481007371302e-004	2.516649e-001
2.171481007371302e-004	2.516982e-001
2.271481007371302e-004	2.517254e-001
2.371481007371302e-004	2.517477e-001
2.471481007371302e-004	2.517658e-001
2.571481007371302e-004	2.517806e-001
2.671481007371303e-004	2.517928e-001
2.771481007371303e-004	2.518027e-001
2.871481007371303e-004	2.518107e-001
2.971481007371303e-004	2.518173e-001
3.071481007371304e-004	2.518227e-001
3.171481007371304e-004	2.518271e-001
3.271481007371304e-004	2.518307e-001
3.371481007371305e-004	2.518336e-001
3.471481007371305e-004	2.518360e-001
3.571481007371305e-004	2.518380e-001
3.671481007371305e-004	2.518396e-001
3.771481007371306e-004	2.518409e-001
3.871481007371306e-004	2.518420e-001
3.971481007371306e-004	2.518428e-001
4.071481007371306e-004	2.518435e-001
4.171481007371307e-004	2.518441e-001
4.271481007371307e-004	2.518446e-001
4.371481007371307e-004	2.518449e-001
4.471481007371307e-004	2.518453e-001
4.571481007371308e-004	2.518455e-001
4.771481007371308e-004	2.518459e-001
5.071481007371309e-004	2.518463e-001
5.371481007371310e-004	2.518465e-001
5.628623864514168e-004	2.518465e-001
5.885766721657026e-004	2.518466e-001
6.142909578799883e-004	2.518466e-001
6.400052435942741e-004	2.518467e-001
6.657195293085599e-004	2.518467e-001
6.914338150228457e-004	2.518467e-001
7.171481007371314e-004	2.518467e-001
9.771481007371321e-004	2.518467e-001
9.871481007371322e-004	2.518467e-001
9.900000000010001e-004	2.518467e-001
9.942962014732643e-004	2.518467e-001
1.000000000001000e-003	2.516606e-001
1.001770437238248e-003	2.512824e-001
1.002492333211254e-003	2.509477e-001
1.002802318284075e-003	2.507827e-001
1.003087014076825e-003	2.506505e-001
1.003224475517471e-003	2.505955e-001
1.003391904291750e-003	2.505370e-001
1.003585580502370e-003	2.504777e-001
1.003861960601558e-003	2.504067e-001
1.004290129232569e-003	2.503169e-001
1.004730368742839e-003	2.502413e-001
1.005610847763378e-003	2.501025e-001
1.006910476079918e-003	2.498726e-001
1.009281414707965e-003	2.493988e-001
1.012129799357456e-003	2.488327e-001
1.015585527680375e-003	2.482067e-001
1.021692598644623e-003	2.472018e-001
1.027573323804965e-003	2.463430e-001
1.037573323804965e-003	2.450983e-001
1.047573323804965e-003	2.440546e-001
1.057573323804965e-003	2.432012e-001
1.067573323804965e-003	2.425029e-001
1.077573323804965e-003	2.419314e-001
1.087573323804965e-003	2.414638e-001
1.097573323804965e-003	2.410810e-001
1.107573323804965e-003	2.407677e-001
1.117573323804965e-003	2.405110e-001
1.127573323804965e-003	2.403010e-001
1.137573323804965e-003	2.401289e-001
1.147573323804965e-003	2.399881e-001
1.157573323804965e-003	2.398727e-001
1.167573323804965e-003	2.397782e-001
1.177573323804965e-003	2.397009e-001
1.187573323804965e-003	2.396375e-001
1.197573323804965e-003	2.395856e-001
1.207573323804965e-003	2.395431e-001
1.217573323804965e-003	2.395083e-001
1.227573323804965e-003	2.394797e-001
1.237573323804965e-003	2.394564e-001
1.247573323804965e-003	2.394373e-001
1.257573323804965e-003	2.394216e-001
1.267573323804965e-003	2.394088e-001
1.277573323804965e-003	2.393982e-001
1.287573323804966e-003	2.393896e-001
1.297573323804966e-003	2.393826e-001
1.307573323804966e-003	2.393768e-001
1.317573323804966e-003	2.393721e-001
1.327573323804966e-003	2.393682e-001
1.337573323804966e-003	2.393650e-001
1.347573323804966e-003	2.393624e-001
1.357573323804966e-003	2.393603e-001
1.367573323804966e-003	2.393585e-001
1.377573323804966e-003	2.393571e-001
1.387573323804966e-003	2.393560e-001
