vreg1	V(vo)
6.799999999999940e+000	3.320943e+000
6.819999999999940e+000	3.321001e+000
6.839999999999940e+000	3.321058e+000
6.859999999999939e+000	3.321116e+000
6.879999999999939e+000	3.321173e+000
6.899999999999938e+000	3.321231e+000
6.919999999999938e+000	3.321288e+000
6.939999999999937e+000	3.321345e+000
6.959999999999937e+000	3.321403e+000
6.979999999999937e+000	3.321460e+000
6.999999999999936e+000	3.321517e+000
7.019999999999936e+000	3.321574e+000
7.039999999999935e+000	3.321631e+000
7.059999999999935e+000	3.321689e+000
7.079999999999934e+000	3.321746e+000
7.099999999999934e+000	3.321803e+000
7.119999999999934e+000	3.321860e+000
7.139999999999933e+000	3.321917e+000
7.159999999999933e+000	3.321974e+000
7.179999999999932e+000	3.322031e+000
7.199999999999932e+000	3.322087e+000
7.219999999999931e+000	3.322144e+000
7.239999999999931e+000	3.322201e+000
7.259999999999931e+000	3.322258e+000
7.279999999999930e+000	3.322315e+000
7.299999999999930e+000	3.322371e+000
7.319999999999929e+000	3.322428e+000
7.339999999999929e+000	3.322484e+000
7.359999999999928e+000	3.322541e+000
7.379999999999928e+000	3.322598e+000
7.399999999999928e+000	3.322654e+000
7.419999999999927e+000	3.322711e+000
7.439999999999927e+000	3.322767e+000
7.459999999999926e+000	3.322823e+000
7.479999999999926e+000	3.322880e+000
7.499999999999925e+000	3.322936e+000
7.519999999999925e+000	3.322992e+000
7.539999999999925e+000	3.323049e+000
7.559999999999924e+000	3.323105e+000
7.579999999999924e+000	3.323161e+000
7.599999999999923e+000	3.323217e+000
7.619999999999923e+000	3.323273e+000
7.639999999999922e+000	3.323329e+000
7.659999999999922e+000	3.323385e+000
7.679999999999922e+000	3.323442e+000
7.699999999999921e+000	3.323498e+000
7.719999999999921e+000	3.323554e+000
7.739999999999920e+000	3.323610e+000
7.759999999999920e+000	3.323666e+000
7.779999999999919e+000	3.323721e+000
7.799999999999919e+000	3.323777e+000
7.819999999999919e+000	3.323833e+000
7.839999999999918e+000	3.323889e+000
7.859999999999918e+000	3.323945e+000
7.879999999999917e+000	3.324001e+000
7.899999999999917e+000	3.324056e+000
7.919999999999916e+000	3.324112e+000
7.939999999999916e+000	3.324168e+000
7.959999999999916e+000	3.324223e+000
7.979999999999915e+000	3.324279e+000
7.999999999999915e+000	3.324335e+000
8.019999999999914e+000	3.324390e+000
8.039999999999914e+000	3.324446e+000
8.059999999999914e+000	3.324501e+000
8.079999999999913e+000	3.324557e+000
8.099999999999913e+000	3.324612e+000
8.119999999999912e+000	3.324668e+000
8.139999999999912e+000	3.324723e+000
8.159999999999911e+000	3.324778e+000
8.179999999999911e+000	3.324834e+000
8.199999999999911e+000	3.324889e+000
8.219999999999910e+000	3.324944e+000
8.239999999999910e+000	3.325000e+000
8.259999999999909e+000	3.325055e+000
8.279999999999909e+000	3.325110e+000
8.299999999999908e+000	3.325166e+000
8.319999999999908e+000	3.325221e+000
8.339999999999908e+000	3.325276e+000
8.359999999999907e+000	3.325331e+000
8.379999999999907e+000	3.325386e+000
8.399999999999906e+000	3.325441e+000
8.419999999999906e+000	3.325496e+000
8.439999999999905e+000	3.325551e+000
8.459999999999905e+000	3.325606e+000
8.479999999999905e+000	3.325661e+000
8.499999999999904e+000	3.325716e+000
8.519999999999904e+000	3.325771e+000
8.539999999999903e+000	3.325826e+000
8.559999999999903e+000	3.325881e+000
8.579999999999902e+000	3.325936e+000
8.599999999999902e+000	3.325991e+000
8.619999999999902e+000	3.326046e+000
8.639999999999901e+000	3.326101e+000
8.659999999999901e+000	3.326155e+000
8.679999999999900e+000	3.326210e+000
8.699999999999900e+000	3.326265e+000
8.719999999999899e+000	3.326320e+000
8.739999999999899e+000	3.326375e+000
8.759999999999899e+000	3.326429e+000
8.779999999999898e+000	3.326484e+000
8.799999999999898e+000	3.326539e+000
8.819999999999897e+000	3.326593e+000
8.839999999999897e+000	3.326648e+000
8.859999999999896e+000	3.326702e+000
8.879999999999896e+000	3.326757e+000
8.899999999999896e+000	3.326812e+000
8.919999999999895e+000	3.326866e+000
8.939999999999895e+000	3.326921e+000
8.959999999999894e+000	3.326975e+000
8.979999999999894e+000	3.327030e+000
8.999999999999893e+000	3.327084e+000
9.019999999999893e+000	3.327138e+000
9.039999999999893e+000	3.327193e+000
9.059999999999892e+000	3.327247e+000
9.079999999999892e+000	3.327302e+000
9.099999999999891e+000	3.327356e+000
9.119999999999891e+000	3.327410e+000
9.139999999999890e+000	3.327465e+000
9.159999999999890e+000	3.327519e+000
9.179999999999890e+000	3.327573e+000
9.199999999999889e+000	3.327628e+000
9.219999999999889e+000	3.327682e+000
9.239999999999888e+000	3.327736e+000
9.259999999999888e+000	3.327790e+000
9.279999999999888e+000	3.327845e+000
9.299999999999887e+000	3.327899e+000
9.319999999999887e+000	3.327953e+000
9.339999999999886e+000	3.328007e+000
9.359999999999886e+000	3.328061e+000
9.379999999999885e+000	3.328115e+000
9.399999999999885e+000	3.328169e+000
9.419999999999885e+000	3.328223e+000
9.439999999999884e+000	3.328278e+000
9.459999999999884e+000	3.328331e+000
9.479999999999883e+000	3.328386e+000
9.499999999999883e+000	3.328440e+000
9.519999999999882e+000	3.328494e+000
9.539999999999882e+000	3.328547e+000
