vreg1	V(vo)
4.000000000000000e+000	3.080906e+000
4.020000000000000e+000	3.099212e+000
4.039999999999999e+000	3.117514e+000
4.059999999999999e+000	3.135815e+000
4.079999999999998e+000	3.154114e+000
4.099999999999998e+000	3.172410e+000
4.119999999999997e+000	3.190705e+000
4.139999999999997e+000	3.208997e+000
4.159999999999997e+000	3.227288e+000
4.179999999999996e+000	3.245578e+000
4.199999999999996e+000	3.263865e+000
4.219999999999995e+000	3.282151e+000
4.239999999999995e+000	3.300436e+000
4.259999999999995e+000	3.318719e+000
4.279999999999994e+000	3.337001e+000
4.299999999999994e+000	3.355282e+000
4.319999999999993e+000	3.373561e+000
4.339999999999993e+000	3.391839e+000
4.359999999999992e+000	3.410116e+000
4.379999999999992e+000	3.428392e+000
4.399999999999992e+000	3.446667e+000
4.419999999999991e+000	3.464941e+000
4.439999999999991e+000	3.483215e+000
4.459999999999990e+000	3.501487e+000
4.479999999999990e+000	3.519759e+000
4.499999999999989e+000	3.538030e+000
4.519999999999989e+000	3.556300e+000
4.539999999999989e+000	3.574570e+000
4.559999999999988e+000	3.592839e+000
4.579999999999988e+000	3.611107e+000
4.599999999999987e+000	3.629375e+000
4.619999999999987e+000	3.647642e+000
4.639999999999986e+000	3.665909e+000
4.659999999999986e+000	3.684176e+000
4.679999999999986e+000	3.702442e+000
4.699999999999985e+000	3.720708e+000
4.719999999999985e+000	3.738973e+000
4.739999999999984e+000	3.757238e+000
4.759999999999984e+000	3.775503e+000
4.779999999999983e+000	3.793767e+000
4.799999999999983e+000	3.812032e+000
4.819999999999983e+000	3.830296e+000
4.839999999999982e+000	3.848559e+000
4.859999999999982e+000	3.866823e+000
4.879999999999981e+000	3.885086e+000
4.899999999999981e+000	3.903350e+000
4.919999999999980e+000	3.921613e+000
4.939999999999980e+000	3.939876e+000
4.959999999999980e+000	3.958139e+000
4.979999999999979e+000	3.976401e+000
4.999999999999979e+000	3.994664e+000
5.019999999999978e+000	4.012927e+000
5.039999999999978e+000	4.031189e+000
5.059999999999977e+000	4.049451e+000
5.079999999999977e+000	4.067714e+000
5.099999999999977e+000	4.085976e+000
5.119999999999976e+000	4.104238e+000
5.139999999999976e+000	4.122500e+000
5.159999999999975e+000	4.140762e+000
5.179999999999975e+000	4.159024e+000
5.199999999999974e+000	4.177286e+000
5.219999999999974e+000	4.195547e+000
5.239999999999974e+000	4.213809e+000
5.259999999999973e+000	4.232069e+000
5.279999999999973e+000	4.250330e+000
5.299999999999972e+000	4.268590e+000
5.319999999999972e+000	4.286850e+000
5.339999999999971e+000	4.305110e+000
5.359999999999971e+000	4.323368e+000
5.379999999999971e+000	4.341626e+000
5.399999999999970e+000	4.359882e+000
5.419999999999970e+000	4.378138e+000
5.439999999999969e+000	4.396392e+000
5.459999999999969e+000	4.414645e+000
5.479999999999969e+000	4.432896e+000
5.499999999999968e+000	4.451144e+000
5.519999999999968e+000	4.469390e+000
5.539999999999967e+000	4.487633e+000
5.559999999999967e+000	4.505871e+000
5.579999999999966e+000	4.524105e+000
