rl	V(vo)	I(Rl)
1.000000000000000e-006	1.981683e-007	1.981682e-001
2.000010000000000e-001	4.054200e-002	2.027090e-001
4.000010000000001e-001	8.298527e-002	2.074627e-001
6.000010000000000e-001	1.274670e-001	2.124446e-001
8.000010000000000e-001	1.741376e-001	2.176718e-001
1.000001000000000e+000	2.231628e-001	2.231626e-001
1.200001000000000e+000	2.747253e-001	2.289376e-001
1.400001000000000e+000	3.290274e-001	2.350194e-001
1.600001000000000e+000	3.862932e-001	2.414331e-001
1.800001000000000e+000	4.467724e-001	2.482067e-001
2.000001000000000e+000	5.107430e-001	2.553714e-001
2.200001000000000e+000	5.785164e-001	2.629619e-001
2.400001000000000e+000	6.504421e-001	2.710174e-001
2.600001000000000e+000	7.269138e-001	2.795821e-001
2.800001000000000e+000	8.083763e-001	2.887057e-001
3.000001000000001e+000	8.953347e-001	2.984448e-001
3.200001000000001e+000	9.883646e-001	3.088638e-001
3.400001000000001e+000	1.088125e+000	3.200366e-001
3.600001000000001e+000	1.195373e+000	3.320479e-001
3.800001000000001e+000	1.310985e+000	3.449959e-001
4.000001000000001e+000	1.435978e+000	3.589945e-001
4.200001000000001e+000	1.571544e+000	3.741770e-001
4.400001000000001e+000	1.719082e+000	3.907003e-001
4.600001000000002e+000	1.880250e+000	4.087499e-001
4.800001000000002e+000	2.057030e+000	4.285478e-001
5.000001000000002e+000	2.251804e+000	4.503607e-001
5.200001000000002e+000	2.467466e+000	4.745126e-001
5.400001000000002e+000	2.707566e+000	5.014010e-001
5.600001000000002e+000	2.976506e+000	5.315188e-001
5.800001000000003e+000	3.279811e+000	5.654846e-001
6.000001000000003e+000	3.624516e+000	6.040859e-001
6.200001000000003e+000	4.019699e+000	6.483384e-001
6.400001000000003e+000	4.476421e+000	6.994407e-001
6.600001000000003e+000	4.953014e+000	7.504566e-001
6.800001000000004e+000	5.068328e+000	7.453423e-001
7.000001000000004e+000	5.070683e+000	7.243832e-001
7.200001000000004e+000	5.072904e+000	7.045699e-001
7.400001000000004e+000	5.075002e+000	6.858110e-001
7.600001000000004e+000	5.076986e+000	6.680244e-001
7.800001000000004e+000	5.078867e+000	6.511367e-001
8.000001000000005e+000	5.080651e+000	6.350814e-001
8.200001000000004e+000	5.082347e+000	6.197983e-001
8.400001000000003e+000	5.083960e+000	6.052333e-001
8.600001000000002e+000	5.085497e+000	5.913368e-001
8.800001000000002e+000	5.086962e+000	5.780638e-001
9.000001000000001e+000	5.088362e+000	5.653735e-001
9.200001000000000e+000	5.089699e+000	5.532281e-001
9.400001000000000e+000	5.090979e+000	5.415934e-001
9.600000999999999e+000	5.092204e+000	5.304379e-001
9.800000999999998e+000	5.093379e+000	5.197325e-001
1.000000100000000e+001	5.094506e+000	5.094506e-001
1.020000100000000e+001	5.095588e+000	4.995674e-001
1.040000100000000e+001	5.096629e+000	4.900604e-001
1.060000100000000e+001	5.097629e+000	4.809083e-001
1.080000100000000e+001	5.098592e+000	4.720918e-001
1.100000099999999e+001	5.099519e+000	4.635926e-001
1.120000099999999e+001	5.100413e+000	4.553940e-001
1.140000099999999e+001	5.101275e+000	4.474803e-001
1.160000099999999e+001	5.101790e+000	4.398095e-001
1.180000099999999e+001	5.102911e+000	4.324501e-001
1.200000000000000e+001	5.103688e+000	4.253073e-001
