time	V(vo)
0.000000000000000e+000	3.249196e+000
9.999999439624929e-011	3.249196e+000
1.039207748350949e-010	3.249196e+000
1.117623357127861e-010	3.249196e+000
1.274454574681685e-010	3.249196e+000
1.549467209242158e-010	3.249196e+000
1.996900260327309e-010	3.249196e+000
2.439315642983451e-010	3.249197e+000
3.324146408295734e-010	3.249197e+000
5.093807938920301e-010	3.249197e+000
8.633131000169435e-010	3.249197e+000
1.481968566088954e-009	3.249197e+000
2.354154733173185e-009	3.249197e+000
3.745652742913273e-009	3.249198e+000
5.430734002916418e-009	3.249199e+000
8.498574637355330e-009	3.249205e+000
1.463425590623315e-008	3.249224e+000
2.033603630481802e-008	3.249253e+000
2.972686154689786e-008	3.249323e+000
4.106491567582143e-008	3.249435e+000
5.401261970390675e-008	3.249590e+000
6.753828954136273e-008	3.249774e+000
8.334617990928160e-008	3.250010e+000
1.020737701656561e-007	3.250317e+000
1.243489552197230e-007	3.250726e+000
1.520236008047739e-007	3.251298e+000
1.789822919124789e-007	3.251922e+000
2.181049570023694e-007	3.252923e+000
2.611300599108678e-007	3.254117e+000
3.023515208103605e-007	3.255346e+000
3.495440362714990e-007	3.256830e+000
4.092562632928867e-007	3.258775e+000
4.800871916268282e-007	3.261119e+000
5.460484080024264e-007	3.263290e+000
6.097905596498845e-007	3.265331e+000
6.826639306413222e-007	3.267550e+000
7.616159276251899e-007	3.269787e+000
8.375881904016548e-007	3.271725e+000
9.402376307420910e-007	3.273980e+000
1.059050479042985e-006	3.276095e+000
1.188768013845051e-006	3.277791e+000
1.337814804835468e-006	3.279023e+000
1.499014898447405e-006	3.279631e+000
1.701699810612116e-006	3.279657e+000
1.923942964373746e-006	3.279201e+000
2.143937124302840e-006	3.278614e+000
2.342470573189204e-006	3.278226e+000
2.528458636194387e-006	3.278134e+000
2.732229960248936e-006	3.278369e+000
2.943951922311066e-006	3.278932e+000
3.205843858726238e-006	3.279914e+000
3.467626592147835e-006	3.281018e+000
3.762640818861688e-006	3.282230e+000
4.049410872882620e-006	3.283253e+000
4.386303908491430e-006	3.284230e+000
4.735927590878273e-006	3.285054e+000
5.194803888223458e-006	3.286005e+000
5.686292113001527e-006	3.287004e+000
6.254381127136219e-006	3.288171e+000
6.855707578723396e-006	3.289357e+000
7.653549854930741e-006	3.290775e+000
8.501096007087580e-006	3.292093e+000
9.720628404688244e-006	3.293735e+000
1.133824613093118e-005	3.295563e+000
1.347273680484481e-005	3.297466e+000
1.599285232091050e-005	3.299071e+000
2.103308335304189e-005	3.301083e+000
2.727414672620956e-005	3.302411e+000
3.567573529231727e-005	3.303145e+000
4.567573529231727e-005	3.303437e+000
5.567573529231727e-005	3.303514e+000
6.567573529231728e-005	3.303529e+000
7.567573529231728e-005	3.303533e+000
8.567573529231728e-005	3.303533e+000
9.567573529231728e-005	3.303534e+000
1.056757352923173e-004	3.303534e+000
1.156757352923173e-004	3.303534e+000
1.256757352923173e-004	3.303534e+000
1.356757352923173e-004	3.303534e+000
1.456757352923173e-004	3.303534e+000
1.556757352923173e-004	3.303534e+000
1.656757352923173e-004	3.303534e+000
1.756757352923173e-004	3.303534e+000
1.856757352923173e-004	3.303534e+000
1.956757352923173e-004	3.303534e+000
2.056757352923173e-004	3.303534e+000
2.156757352923173e-004	3.303534e+000
2.256757352923173e-004	3.303534e+000
2.356757352923173e-004	3.303534e+000
2.456757352923173e-004	3.303534e+000
