vreg1	V(vo)	I(Rl)
6.059999999999956e+000	3.291241e+000	3.291241e-001
6.079999999999956e+000	3.291301e+000	3.291301e-001
6.099999999999955e+000	3.291360e+000	3.291360e-001
6.119999999999955e+000	3.291419e+000	3.291419e-001
6.139999999999954e+000	3.291479e+000	3.291478e-001
6.159999999999954e+000	3.291538e+000	3.291538e-001
6.179999999999954e+000	3.291597e+000	3.291597e-001
6.199999999999953e+000	3.291656e+000	3.291656e-001
6.219999999999953e+000	3.291715e+000	3.291715e-001
6.239999999999952e+000	3.291774e+000	3.291774e-001
6.259999999999952e+000	3.291833e+000	3.291833e-001
6.279999999999951e+000	3.291892e+000	3.291892e-001
6.299999999999951e+000	3.291950e+000	3.291950e-001
6.319999999999951e+000	3.292009e+000	3.292009e-001
6.339999999999950e+000	3.292068e+000	3.292068e-001
6.359999999999950e+000	3.292126e+000	3.292126e-001
6.379999999999949e+000	3.292185e+000	3.292185e-001
6.399999999999949e+000	3.292243e+000	3.292243e-001
6.419999999999948e+000	3.292302e+000	3.292302e-001
6.439999999999948e+000	3.292360e+000	3.292360e-001
6.459999999999948e+000	3.292419e+000	3.292419e-001
6.479999999999947e+000	3.292477e+000	3.292477e-001
6.499999999999947e+000	3.292535e+000	3.292535e-001
6.519999999999946e+000	3.292593e+000	3.292593e-001
6.539999999999946e+000	3.292652e+000	3.292652e-001
6.559999999999945e+000	3.292710e+000	3.292710e-001
6.579999999999945e+000	3.292768e+000	3.292768e-001
6.599999999999945e+000	3.292826e+000	3.292826e-001
6.619999999999944e+000	3.292884e+000	3.292884e-001
6.639999999999944e+000	3.292942e+000	3.292942e-001
6.659999999999943e+000	3.293000e+000	3.293000e-001
6.679999999999943e+000	3.293057e+000	3.293058e-001
6.699999999999942e+000	3.293115e+000	3.293115e-001
6.719999999999942e+000	3.293173e+000	3.293173e-001
6.739999999999942e+000	3.293231e+000	3.293231e-001
6.759999999999941e+000	3.293288e+000	3.293289e-001
6.779999999999941e+000	3.293346e+000	3.293346e-001
6.799999999999940e+000	3.293404e+000	3.293404e-001
6.819999999999940e+000	3.293461e+000	3.293461e-001
6.839999999999940e+000	3.293519e+000	3.293519e-001
6.859999999999939e+000	3.293576e+000	3.293576e-001
6.879999999999939e+000	3.293634e+000	3.293634e-001
6.899999999999938e+000	3.293691e+000	3.293691e-001
6.919999999999938e+000	3.293748e+000	3.293748e-001
6.939999999999937e+000	3.293806e+000	3.293806e-001
6.959999999999937e+000	3.293863e+000	3.293863e-001
6.979999999999937e+000	3.293920e+000	3.293920e-001
6.999999999999936e+000	3.293977e+000	3.293977e-001
7.019999999999936e+000	3.294034e+000	3.294034e-001
7.039999999999935e+000	3.294091e+000	3.294092e-001
7.059999999999935e+000	3.294149e+000	3.294149e-001
7.079999999999934e+000	3.294206e+000	3.294206e-001
7.099999999999934e+000	3.294263e+000	3.294263e-001
7.119999999999934e+000	3.294320e+000	3.294320e-001
7.139999999999933e+000	3.294376e+000	3.294376e-001
7.159999999999933e+000	3.294433e+000	3.294433e-001
7.179999999999932e+000	3.294490e+000	3.294490e-001
7.199999999999932e+000	3.294547e+000	3.294547e-001
7.219999999999931e+000	3.294604e+000	3.294604e-001
7.239999999999931e+000	3.294661e+000	3.294660e-001
7.259999999999931e+000	3.294717e+000	3.294717e-001
7.279999999999930e+000	3.294774e+000	3.294774e-001
7.299999999999930e+000	3.294831e+000	3.294830e-001
7.319999999999929e+000	3.294887e+000	3.294887e-001
7.339999999999929e+000	3.294944e+000	3.294944e-001
7.359999999999928e+000	3.295000e+000	3.295000e-001
7.379999999999928e+000	3.295057e+000	3.295057e-001
7.399999999999928e+000	3.295113e+000	3.295113e-001
7.419999999999927e+000	3.295170e+000	3.295169e-001
7.439999999999927e+000	3.295226e+000	3.295226e-001
7.459999999999926e+000	3.295282e+000	3.295282e-001
7.479999999999926e+000	3.295339e+000	3.295338e-001
7.499999999999925e+000	3.295395e+000	3.295395e-001
7.519999999999925e+000	3.295451e+000	3.295451e-001
7.539999999999925e+000	3.295507e+000	3.295507e-001
7.559999999999924e+000	3.295563e+000	3.295563e-001
7.579999999999924e+000	3.295620e+000	3.295620e-001
7.599999999999923e+000	3.295676e+000	3.295676e-001
7.619999999999923e+000	3.295732e+000	3.295732e-001
7.639999999999922e+000	3.295788e+000	3.295788e-001
7.659999999999922e+000	3.295844e+000	3.295844e-001
7.679999999999922e+000	3.295900e+000	3.295900e-001
7.699999999999921e+000	3.295956e+000	3.295956e-001
7.719999999999921e+000	3.296012e+000	3.296012e-001
7.739999999999920e+000	3.296068e+000	3.296068e-001
7.759999999999920e+000	3.296124e+000	3.296124e-001
7.779999999999919e+000	3.296180e+000	3.296180e-001
7.799999999999919e+000	3.296236e+000	3.296236e-001
7.819999999999919e+000	3.296291e+000	3.296292e-001
7.839999999999918e+000	3.296347e+000	3.296347e-001
7.859999999999918e+000	3.296403e+000	3.296403e-001
7.879999999999917e+000	3.296459e+000	3.296459e-001
7.899999999999917e+000	3.296514e+000	3.296514e-001
7.919999999999916e+000	3.296570e+000	3.296570e-001
7.939999999999916e+000	3.296626e+000	3.296626e-001
7.959999999999916e+000	3.296681e+000	3.296681e-001
7.979999999999915e+000	3.296737e+000	3.296737e-001
7.999999999999915e+000	3.296793e+000	3.296793e-001
8.019999999999914e+000	3.296848e+000	3.296848e-001
8.039999999999914e+000	3.296904e+000	3.296903e-001
8.059999999999914e+000	3.296959e+000	3.296959e-001
8.079999999999913e+000	3.297014e+000	3.297015e-001
8.099999999999913e+000	3.297070e+000	3.297070e-001
8.119999999999912e+000	3.297125e+000	3.297125e-001
8.139999999999912e+000	3.297181e+000	3.297181e-001
8.159999999999911e+000	3.297236e+000	3.297236e-001
8.179999999999911e+000	3.297291e+000	3.297291e-001
8.199999999999911e+000	3.297347e+000	3.297347e-001
8.219999999999910e+000	3.297402e+000	3.297402e-001
8.239999999999910e+000	3.297457e+000	3.297457e-001
8.259999999999909e+000	3.297513e+000	3.297513e-001
8.279999999999909e+000	3.297568e+000	3.297568e-001
8.299999999999908e+000	3.297623e+000	3.297623e-001
8.319999999999908e+000	3.297678e+000	3.297678e-001
8.339999999999908e+000	3.297733e+000	3.297733e-001
8.359999999999907e+000	3.297788e+000	3.297788e-001
8.379999999999907e+000	3.297843e+000	3.297843e-001
8.399999999999906e+000	3.297899e+000	3.297898e-001
8.419999999999906e+000	3.297953e+000	3.297954e-001
8.439999999999905e+000	3.298008e+000	3.298008e-001
8.459999999999905e+000	3.298064e+000	3.298064e-001
8.479999999999905e+000	3.298118e+000	3.298118e-001
8.499999999999904e+000	3.298173e+000	3.298174e-001
8.519999999999904e+000	3.298228e+000	3.298228e-001
8.539999999999903e+000	3.298283e+000	3.298283e-001
8.559999999999903e+000	3.298338e+000	3.298338e-001
8.579999999999902e+000	3.298393e+000	3.298393e-001
8.599999999999902e+000	3.298448e+000	3.298448e-001
8.619999999999902e+000	3.298503e+000	3.298503e-001
8.639999999999901e+000	3.298558e+000	3.298557e-001
8.659999999999901e+000	3.298612e+000	3.298612e-001
8.679999999999900e+000	3.298667e+000	3.298667e-001
8.699999999999900e+000	3.298722e+000	3.298722e-001
8.719999999999899e+000	3.298776e+000	3.298776e-001
8.739999999999899e+000	3.298831e+000	3.298831e-001
8.759999999999899e+000	3.298886e+000	3.298886e-001
8.779999999999898e+000	3.298940e+000	3.298940e-001
8.799999999999898e+000	3.298995e+000	3.298995e-001
8.819999999999897e+000	3.299050e+000	3.299050e-001
8.839999999999897e+000	3.299104e+000	3.299104e-001
8.859999999999896e+000	3.299159e+000	3.299159e-001
8.879999999999896e+000	3.299213e+000	3.299213e-001
8.899999999999896e+000	3.299268e+000	3.299268e-001
8.919999999999895e+000	3.299322e+000	3.299322e-001
8.939999999999895e+000	3.299377e+000	3.299377e-001
8.959999999999894e+000	3.299431e+000	3.299432e-001
8.979999999999894e+000	3.299486e+000	3.299486e-001
8.999999999999893e+000	3.299540e+000	3.299540e-001
9.019999999999893e+000	3.299595e+000	3.299595e-001
9.039999999999893e+000	3.299649e+000	3.299649e-001
9.059999999999892e+000	3.299704e+000	3.299704e-001
9.079999999999892e+000	3.299758e+000	3.299758e-001
9.099999999999891e+000	3.299812e+000	3.299812e-001
9.119999999999891e+000	3.299866e+000	3.299867e-001
9.139999999999890e+000	3.299921e+000	3.299921e-001
9.159999999999890e+000	3.299975e+000	3.299975e-001
9.179999999999890e+000	3.300029e+000	3.300029e-001
9.199999999999889e+000	3.300084e+000	3.300084e-001
9.219999999999889e+000	3.300138e+000	3.300138e-001
9.239999999999888e+000	3.300192e+000	3.300192e-001
9.259999999999888e+000	3.300246e+000	3.300246e-001
9.279999999999888e+000	3.300300e+000	3.300301e-001
9.299999999999887e+000	3.300354e+000	3.300354e-001
9.319999999999887e+000	3.300409e+000	3.300409e-001
9.339999999999886e+000	3.300463e+000	3.300463e-001
9.359999999999886e+000	3.300517e+000	3.300517e-001
9.379999999999885e+000	3.300571e+000	3.300571e-001
9.399999999999885e+000	3.300625e+000	3.300625e-001
9.419999999999885e+000	3.300679e+000	3.300679e-001
9.439999999999884e+000	3.300733e+000	3.300733e-001
9.459999999999884e+000	3.300787e+000	3.300787e-001
9.479999999999883e+000	3.300841e+000	3.300841e-001
9.499999999999883e+000	3.300895e+000	3.300895e-001
9.519999999999882e+000	3.300949e+000	3.300949e-001
9.539999999999882e+000	3.301003e+000	3.301003e-001
9.559999999999882e+000	3.301057e+000	3.301057e-001
9.579999999999881e+000	3.301111e+000	3.301111e-001
9.599999999999881e+000	3.301165e+000	3.301165e-001
9.619999999999880e+000	3.301219e+000	3.301219e-001
9.639999999999880e+000	3.301273e+000	3.301273e-001
9.659999999999879e+000	3.301327e+000	3.301327e-001
9.679999999999879e+000	3.301380e+000	3.301380e-001
9.699999999999879e+000	3.301434e+000	3.301434e-001
9.719999999999878e+000	3.301488e+000	3.301488e-001
9.739999999999878e+000	3.301542e+000	3.301542e-001
9.759999999999877e+000	3.301595e+000	3.301595e-001
9.779999999999877e+000	3.301649e+000	3.301649e-001
9.799999999999876e+000	3.301703e+000	3.301703e-001
9.819999999999876e+000	3.301757e+000	3.301757e-001
9.839999999999876e+000	3.301811e+000	3.301811e-001
9.859999999999875e+000	3.301864e+000	3.301864e-001
9.879999999999875e+000	3.301918e+000	3.301918e-001
9.899999999999874e+000	3.301971e+000	3.301972e-001
9.919999999999874e+000	3.302025e+000	3.302025e-001
9.939999999999873e+000	3.302079e+000	3.302079e-001
9.959999999999873e+000	3.302132e+000	3.302132e-001
9.979999999999873e+000	3.302186e+000	3.302186e-001
9.999999999999872e+000	3.302240e+000	3.302240e-001
1.001999999999987e+001	3.302293e+000	3.302293e-001
1.003999999999987e+001	3.302347e+000	3.302347e-001
1.005999999999987e+001	3.302400e+000	3.302400e-001
1.007999999999987e+001	3.302454e+000	3.302454e-001
1.009999999999987e+001	3.302507e+000	3.302507e-001
1.011999999999987e+001	3.302561e+000	3.302561e-001
1.013999999999987e+001	3.302614e+000	3.302614e-001
1.015999999999987e+001	3.302668e+000	3.302668e-001
1.017999999999987e+001	3.302721e+000	3.302721e-001
1.019999999999987e+001	3.302775e+000	3.302775e-001
1.021999999999987e+001	3.302828e+000	3.302828e-001
1.023999999999987e+001	3.302882e+000	3.302882e-001
1.025999999999987e+001	3.302935e+000	3.302935e-001
