Para duty = 0,54	BUCK	Unnamed: 2
R_carga	Vo	corriente
82	6.22	0.07585365853658536
41	6.08	0.14829268292682926
27.3	5.96	0.21831501831501832
21.6	5.86	0.2712962962962963
17.2	5.76	0.33488372093023255
14.4	5.66	0.39305555555555555
12.2	5.5	0.45081967213114754
9.68	5.49	0.5671487603305786
6.72	5.4	0.8035714285714286
4.9	5.33	1.0877551020408163
3.9	5.23	1.3410256410256411
